hh_id,Category,Loyal_HH_count,Price_Sensitive_count,Convenience_Leaning_count,Health_Conscious_count,Quality_Concerned_count
10,Bakery,1,1,1,0,0
30,Bakery,1,1,0,0,0
31,Bakery,1,0,0,0,0
37,Bakery,1,1,0,0,0
51,Bakery,0,1,1,0,0
54,Bakery,1,1,1,0,0
55,Bakery,1,0,1,0,0
59,Bakery,0,0,0,0,0
61,Bakery,1,1,0,0,0
71,Bakery,1,0,0,0,0
74,Bakery,0,0,1,0,0
94,Bakery,0,1,0,0,0
99,Bakery,0,0,0,0,0
107,Bakery,1,1,0,0,0
121,Bakery,1,0,0,0,0
135,Bakery,1,0,1,0,0
144,Bakery,1,1,0,0,0
148,Bakery,0,0,1,0,0
156,Bakery,1,0,0,0,0
169,Bakery,0,0,0,0,0
185,Bakery,0,0,0,0,0
198,Bakery,1,1,1,0,0
200,Bakery,0,1,0,0,0
203,Bakery,0,0,0,0,0
214,Bakery,1,0,1,0,0
237,Bakery,1,1,1,0,0
247,Bakery,1,0,1,0,0
252,Bakery,0,0,1,0,0
262,Bakery,1,0,1,1,0
271,Bakery,0,0,0,0,0
272,Bakery,1,0,0,0,0
277,Bakery,0,1,0,0,0
279,Bakery,1,0,0,0,0
284,Bakery,1,0,1,0,0
292,Bakery,0,1,0,0,0
293,Bakery,1,0,1,1,0
313,Bakery,1,0,1,0,0
314,Bakery,1,0,0,1,0
323,Bakery,1,0,1,0,0
324,Bakery,1,1,1,0,0
331,Bakery,0,0,0,0,0
334,Bakery,1,0,0,1,0
340,Bakery,1,1,0,0,0
350,Bakery,1,1,0,0,0
353,Bakery,0,0,0,0,0
361,Bakery,0,0,0,0,0
373,Bakery,0,1,0,0,0
374,Bakery,1,0,0,1,0
384,Bakery,0,1,0,0,1
403,Bakery,1,0,0,0,0
427,Bakery,1,0,0,0,0
428,Bakery,1,0,0,0,0
455,Bakery,0,1,1,0,0
462,Bakery,0,1,1,0,0
464,Bakery,0,0,0,0,0
468,Bakery,0,0,0,0,0
478,Bakery,1,0,0,0,0
503,Bakery,0,0,0,0,0
504,Bakery,1,1,1,0,0
517,Bakery,1,0,0,0,0
518,Bakery,0,0,1,0,0
525,Bakery,0,0,0,0,0
529,Bakery,0,0,0,0,0
547,Bakery,1,0,1,0,0
553,Bakery,1,0,0,1,0
557,Bakery,0,0,0,0,0
576,Bakery,1,0,1,0,0
587,Bakery,0,0,1,0,0
600,Bakery,0,0,0,1,1
612,Bakery,1,1,0,0,0
633,Bakery,1,0,0,1,0
637,Bakery,1,0,0,0,0
643,Bakery,1,0,0,0,0
644,Bakery,0,0,0,0,0
648,Bakery,1,0,0,0,0
653,Bakery,1,1,0,0,0
678,Bakery,1,0,0,1,1
686,Bakery,1,0,1,0,0
687,Bakery,0,1,0,0,0
693,Bakery,1,0,1,0,0
696,Bakery,1,1,1,0,0
707,Bakery,0,0,0,1,1
708,Bakery,1,0,1,0,0
713,Bakery,0,0,0,0,1
724,Bakery,0,0,0,0,0
743,Bakery,0,1,1,0,0
750,Bakery,1,0,0,1,1
752,Bakery,0,0,0,0,0
756,Bakery,0,0,0,0,0
768,Bakery,1,1,0,0,0
771,Bakery,0,1,0,0,0
782,Bakery,0,0,1,0,0
784,Bakery,0,1,0,0,0
785,Bakery,1,0,1,0,0
805,Bakery,0,0,0,0,0
831,Bakery,0,0,0,0,0
835,Bakery,1,1,1,0,0
843,Bakery,1,1,0,0,0
850,Bakery,1,0,0,1,1
859,Bakery,0,0,0,0,0
867,Bakery,0,0,0,1,0
871,Bakery,0,1,1,0,0
879,Bakery,1,0,1,0,0
903,Bakery,0,0,0,0,0
938,Bakery,0,0,0,0,0
946,Bakery,1,0,1,0,0
954,Bakery,1,0,0,1,0
957,Bakery,0,0,0,0,0
977,Bakery,0,0,0,0,0
983,Bakery,1,0,1,0,0
986,Bakery,0,1,1,0,0
997,Bakery,1,0,0,1,0
998,Bakery,0,0,0,1,1
1013,Bakery,1,0,0,0,0
1039,Bakery,1,0,0,0,0
1043,Bakery,0,0,0,0,0
1073,Bakery,0,0,0,0,0
1091,Bakery,0,0,0,1,0
1111,Bakery,0,0,0,0,1
1122,Bakery,1,1,1,0,0
1140,Bakery,1,0,0,1,1
1144,Bakery,1,0,0,0,0
1155,Bakery,1,0,0,0,0
1156,Bakery,1,0,0,1,1
1157,Bakery,1,0,0,0,0
1167,Bakery,0,0,0,0,0
1217,Bakery,1,0,1,0,0
1219,Bakery,0,0,1,0,0
1229,Bakery,1,0,0,0,0
1230,Bakery,0,0,0,0,0
1272,Bakery,0,0,0,1,0
1274,Bakery,0,0,0,0,0
1275,Bakery,1,1,1,0,0
1279,Bakery,0,0,0,0,1
1283,Bakery,1,0,0,0,0
1288,Bakery,0,0,0,0,0
1295,Bakery,1,0,1,0,0
1297,Bakery,0,0,0,0,0
1304,Bakery,1,0,1,0,0
1321,Bakery,1,1,0,0,0
1324,Bakery,0,0,0,0,0
1339,Bakery,0,0,0,0,0
1346,Bakery,1,1,1,1,0
1349,Bakery,0,0,0,0,0
1369,Bakery,1,0,0,0,0
1376,Bakery,0,0,0,0,1
1379,Bakery,0,0,1,0,0
1386,Bakery,1,0,0,1,0
1403,Bakery,0,0,0,0,0
1406,Bakery,0,0,0,0,0
1423,Bakery,0,0,0,0,1
1426,Bakery,1,1,1,0,0
1444,Bakery,0,0,0,0,0
1458,Bakery,0,0,0,0,0
1479,Bakery,1,0,1,1,1
1494,Bakery,1,1,1,0,0
1500,Bakery,1,0,0,0,1
1510,Bakery,1,0,0,0,0
1516,Bakery,1,0,1,0,0
1518,Bakery,0,1,0,0,0
1519,Bakery,1,0,1,0,0
1525,Bakery,0,0,1,0,0
1539,Bakery,1,1,0,0,0
1546,Bakery,0,1,1,0,0
1547,Bakery,0,1,0,1,0
1554,Bakery,1,0,0,0,0
1562,Bakery,0,0,1,0,0
1571,Bakery,0,0,1,0,0
1581,Bakery,0,0,0,0,0
1586,Bakery,0,0,0,0,0
1591,Bakery,0,1,1,0,0
1611,Bakery,1,1,1,0,0
1612,Bakery,1,0,0,1,1
1613,Bakery,0,0,0,0,0
1617,Bakery,1,1,1,0,0
1631,Bakery,1,0,1,0,0
1633,Bakery,1,0,0,0,0
1641,Bakery,1,0,0,1,1
1664,Bakery,1,0,0,1,1
1665,Bakery,1,0,0,0,0
1667,Bakery,0,0,0,0,1
1674,Bakery,1,0,1,1,0
1676,Bakery,0,0,0,0,0
1692,Bakery,1,0,1,0,0
1693,Bakery,1,1,0,0,0
1695,Bakery,0,0,1,0,1
1698,Bakery,0,0,0,1,1
1699,Bakery,1,0,1,0,0
1710,Bakery,1,1,1,0,0
1731,Bakery,1,1,1,0,0
1740,Bakery,0,1,0,0,0
1750,Bakery,0,0,0,0,0
1751,Bakery,1,1,0,0,0
1768,Bakery,1,0,1,1,1
1776,Bakery,0,0,1,0,0
1779,Bakery,1,0,0,0,0
1785,Bakery,1,0,1,0,0
1794,Bakery,1,0,0,0,0
1800,Bakery,1,0,0,1,0
1802,Bakery,1,0,0,1,0
1809,Bakery,1,0,1,1,0
1819,Bakery,1,0,0,1,1
1835,Bakery,1,0,0,1,0
1837,Bakery,1,0,0,0,0
1840,Bakery,0,0,0,0,0
1847,Bakery,0,0,0,0,0
1858,Bakery,1,0,0,0,0
1865,Bakery,1,0,0,1,1
1869,Bakery,0,0,0,0,0
1878,Bakery,1,0,0,1,1
1879,Bakery,1,1,0,1,0
1885,Bakery,1,0,0,0,0
1891,Bakery,0,0,0,0,0
1915,Bakery,1,0,0,0,1
1962,Bakery,1,0,0,1,1
1985,Bakery,0,0,0,1,0
1998,Bakery,1,1,1,0,0
2012,Bakery,0,0,1,0,0
2042,Bakery,0,1,0,0,0
2050,Bakery,1,0,1,0,0
2079,Bakery,0,0,1,0,0
2080,Bakery,0,0,1,0,0
2087,Bakery,0,0,0,0,0
2088,Bakery,0,0,0,0,0
2104,Bakery,0,1,0,0,0
2105,Bakery,0,0,1,0,0
2113,Bakery,1,1,1,0,0
