hh_id,Category,Loyal_HH_count,Price_Sensitive_count,Convenience_Leaning_count,Health_Conscious_count,Quality_Concerned_count
9,Dairy,0,0,1,1,0
16,Dairy,1,1,0,0,0
17,Dairy,1,0,0,0,1
29,Dairy,0,0,0,1,0
36,Dairy,1,0,1,0,0
71,Dairy,1,0,0,0,0
99,Dairy,0,0,0,0,0
102,Dairy,0,0,0,0,1
109,Dairy,1,0,0,0,1
123,Dairy,1,0,0,0,0
127,Dairy,0,0,0,0,0
152,Dairy,1,0,1,0,0
163,Dairy,0,0,1,0,0
178,Dairy,1,0,0,1,1
207,Dairy,0,0,0,0,0
210,Dairy,0,0,1,0,0
222,Dairy,0,0,0,0,0
225,Dairy,1,0,0,1,1
233,Dairy,0,0,0,0,0
245,Dairy,1,0,0,0,0
274,Dairy,1,0,1,0,1
294,Dairy,1,0,1,0,0
300,Dairy,0,0,0,0,0
303,Dairy,0,0,0,0,0
316,Dairy,1,0,0,1,0
328,Dairy,0,1,0,1,0
353,Dairy,0,0,0,0,0
355,Dairy,0,0,1,0,0
356,Dairy,0,0,0,0,0
382,Dairy,1,0,1,0,1
383,Dairy,0,1,1,0,0
385,Dairy,0,0,0,1,0
389,Dairy,0,1,0,0,0
396,Dairy,0,0,0,1,1
415,Dairy,0,0,0,0,0
422,Dairy,1,0,0,1,1
432,Dairy,0,0,0,0,0
441,Dairy,0,0,0,0,0
456,Dairy,0,0,1,0,0
461,Dairy,0,0,0,0,0
469,Dairy,0,0,0,0,1
478,Dairy,1,0,0,0,0
486,Dairy,0,0,0,0,0
490,Dairy,0,0,1,0,1
530,Dairy,1,0,0,1,1
532,Dairy,0,0,0,0,0
540,Dairy,0,0,1,0,0
541,Dairy,1,0,0,1,1
554,Dairy,0,0,0,0,0
564,Dairy,0,0,1,0,0
587,Dairy,0,0,1,0,0
603,Dairy,1,0,0,0,0
611,Dairy,1,0,0,0,0
617,Dairy,1,1,0,0,0
619,Dairy,1,0,1,0,0
644,Dairy,0,0,0,0,0
655,Dairy,0,0,0,0,0
663,Dairy,1,1,1,0,0
707,Dairy,0,0,0,1,1
730,Dairy,1,0,1,0,0
744,Dairy,0,0,0,0,0
754,Dairy,1,0,0,1,1
766,Dairy,0,0,0,0,0
773,Dairy,0,0,0,0,0
793,Dairy,0,0,0,0,0
794,Dairy,1,0,1,0,0
809,Dairy,1,1,0,0,0
821,Dairy,1,0,0,1,0
831,Dairy,0,0,0,0,0
869,Dairy,0,0,0,0,0
871,Dairy,0,1,1,0,0
889,Dairy,0,0,0,1,1
917,Dairy,0,0,0,0,0
929,Dairy,1,0,1,0,0
941,Dairy,1,0,0,0,0
968,Dairy,0,0,0,1,1
974,Dairy,0,0,0,1,1
1015,Dairy,1,0,0,1,0
1028,Dairy,0,0,0,0,0
1040,Dairy,0,0,0,0,0
1054,Dairy,1,1,0,0,0
1057,Dairy,1,0,0,0,1
1101,Dairy,1,0,0,1,1
1116,Dairy,0,0,1,0,0
1120,Dairy,1,1,1,0,0
1125,Dairy,0,0,0,0,0
1127,Dairy,1,0,1,0,0
1128,Dairy,1,0,1,0,0
1134,Dairy,1,0,0,0,0
1161,Dairy,0,0,1,0,0
1168,Dairy,0,0,0,0,1
1203,Dairy,0,0,0,0,0
1211,Dairy,0,0,1,0,0
1222,Dairy,0,0,0,0,0
1235,Dairy,1,0,0,1,0
1253,Dairy,0,0,0,0,0
1258,Dairy,1,0,1,0,0
1263,Dairy,0,1,0,0,0
1264,Dairy,1,0,0,1,0
1266,Dairy,0,0,0,1,0
1270,Dairy,1,0,1,1,1
1283,Dairy,1,0,0,0,0
1309,Dairy,1,1,1,0,0
1313,Dairy,0,1,1,0,0
1344,Dairy,1,0,1,0,0
1346,Dairy,1,1,1,1,0
1399,Dairy,0,1,1,0,0
1422,Dairy,1,0,0,0,0
1424,Dairy,1,0,0,0,1
1426,Dairy,1,1,1,0,0
1430,Dairy,0,0,0,1,1
1432,Dairy,0,1,1,0,0
1494,Dairy,1,1,1,0,0
1518,Dairy,0,1,0,0,0
1525,Dairy,0,0,1,0,0
