hh_id,Category,Loyal_HH_count,Price_Sensitive_count,Convenience_Leaning_count,Health_Conscious_count,Quality_Concerned_count
16,Frozen,1,1,0,0,0
17,Frozen,1,0,0,0,1
23,Frozen,0,0,0,0,0
28,Frozen,1,1,1,0,0
33,Frozen,1,0,0,1,1
42,Frozen,0,1,0,0,0
54,Frozen,1,1,1,0,0
61,Frozen,1,1,0,0,0
64,Frozen,0,1,1,0,0
72,Frozen,1,0,0,0,0
99,Frozen,0,0,0,0,0
103,Frozen,0,0,0,0,0
124,Frozen,1,1,1,0,0
135,Frozen,1,0,1,0,0
140,Frozen,1,0,1,0,0
145,Frozen,1,1,1,0,0
148,Frozen,0,0,1,0,0
151,Frozen,1,1,0,0,0
155,Frozen,1,0,0,0,0
156,Frozen,1,0,0,0,0
161,Frozen,0,0,0,0,0
182,Frozen,1,1,1,0,0
191,Frozen,0,0,1,0,0
196,Frozen,1,0,0,0,0
200,Frozen,0,1,0,0,0
213,Frozen,1,0,0,0,0
215,Frozen,1,1,1,0,0
225,Frozen,1,0,0,1,1
245,Frozen,1,0,0,0,0
252,Frozen,0,0,1,0,0
258,Frozen,0,0,0,0,1
260,Frozen,1,0,1,0,0
274,Frozen,1,0,1,0,1
275,Frozen,0,0,0,0,0
292,Frozen,0,1,0,0,0
300,Frozen,0,0,0,0,0
319,Frozen,1,0,1,0,0
325,Frozen,0,0,0,0,0
335,Frozen,0,0,1,0,0
340,Frozen,1,1,0,0,0
341,Frozen,0,0,0,0,0
355,Frozen,0,0,1,0,0
380,Frozen,0,0,1,0,1
399,Frozen,0,1,0,0,0
428,Frozen,1,0,0,0,0
456,Frozen,0,0,1,0,0
465,Frozen,0,1,1,0,0
474,Frozen,1,0,0,0,0
482,Frozen,1,0,0,0,0
491,Frozen,1,0,1,0,0
492,Frozen,1,0,0,0,0
494,Frozen,0,0,0,0,0
496,Frozen,1,0,1,0,0
505,Frozen,0,1,0,0,0
519,Frozen,0,0,1,0,0
522,Frozen,1,0,0,1,1
524,Frozen,1,0,0,0,0
536,Frozen,0,0,0,0,0
537,Frozen,0,0,0,0,0
556,Frozen,1,1,1,0,0
575,Frozen,1,0,1,0,0
588,Frozen,1,0,0,0,0
596,Frozen,0,1,0,0,0
604,Frozen,1,1,0,0,0
617,Frozen,1,1,0,0,0
622,Frozen,1,1,1,0,0
644,Frozen,0,0,0,0,0
646,Frozen,0,0,1,0,0
647,Frozen,0,1,1,0,0
656,Frozen,0,0,0,0,0
677,Frozen,1,0,0,1,1
682,Frozen,1,0,1,0,0
687,Frozen,0,1,0,0,0
720,Frozen,1,0,1,0,1
726,Frozen,1,0,0,0,0
746,Frozen,0,0,0,0,0
765,Frozen,0,0,0,0,1
775,Frozen,0,0,1,0,0
796,Frozen,0,0,0,1,1
800,Frozen,1,0,0,1,0
803,Frozen,1,0,1,1,0
821,Frozen,1,0,0,1,0
850,Frozen,1,0,0,1,1
871,Frozen,0,1,1,0,0
890,Frozen,0,0,0,0,0
895,Frozen,1,0,1,0,0
901,Frozen,0,0,0,0,0
905,Frozen,1,1,1,0,0
919,Frozen,1,0,0,1,1
925,Frozen,0,1,0,0,0
936,Frozen,1,1,0,0,0
946,Frozen,1,0,1,0,0
950,Frozen,1,0,1,1,1
960,Frozen,1,0,0,0,0
963,Frozen,1,1,1,0,0
1009,Frozen,1,1,0,0,0
1033,Frozen,0,0,0,0,1
1047,Frozen,0,1,0,0,0
1061,Frozen,0,0,1,0,0
1065,Frozen,0,0,0,1,0
1069,Frozen,0,0,0,0,0
1087,Frozen,1,1,1,0,0
1088,Frozen,1,0,0,0,0
1089,Frozen,1,1,0,0,0
1125,Frozen,0,0,0,0,0
1127,Frozen,1,0,1,0,0
1145,Frozen,0,0,0,0,0
1163,Frozen,0,0,0,0,1
1171,Frozen,0,0,0,0,0
1193,Frozen,0,0,0,0,0
1198,Frozen,1,0,0,1,1
1217,Frozen,1,0,1,0,0
1232,Frozen,0,0,1,0,0
1236,Frozen,1,0,0,0,0
1250,Frozen,1,0,1,0,0
1252,Frozen,1,0,0,1,1
1275,Frozen,1,1,1,0,0
1284,Frozen,0,1,0,0,0
1292,Frozen,0,0,1,0,0
1300,Frozen,0,1,1,0,0
1312,Frozen,1,1,0,0,0
1332,Frozen,0,0,0,0,0
1336,Frozen,0,0,0,0,0
1357,Frozen,1,0,1,0,0
1388,Frozen,0,0,1,0,0
1422,Frozen,1,0,0,0,0
1443,Frozen,0,0,0,0,0
1453,Frozen,1,0,1,0,0
1460,Frozen,1,0,1,0,0
1468,Frozen,0,0,0,0,1
1481,Frozen,0,1,0,0,0
1500,Frozen,1,0,0,0,1
1506,Frozen,0,1,0,0,0
1535,Frozen,1,0,0,0,0
1551,Frozen,1,0,1,0,0
1558,Frozen,1,1,1,0,0
1562,Frozen,0,0,1,0,0
1568,Frozen,0,0,0,1,1
1595,Frozen,1,0,1,0,0
1610,Frozen,1,0,0,1,1
1664,Frozen,1,0,0,1,1
1726,Frozen,0,1,1,0,0
1734,Frozen,1,0,1,0,0
1735,Frozen,1,0,0,0,0
1765,Frozen,1,0,0,1,0
1770,Frozen,0,0,0,0,0
1774,Frozen,0,1,0,0,0
1785,Frozen,1,0,1,0,0
1851,Frozen,1,1,1,0,0
1864,Frozen,0,0,0,0,0
1879,Frozen,1,1,0,1,0
1885,Frozen,1,0,0,0,0
1896,Frozen,1,0,0,0,0
1900,Frozen,1,1,1,0,0
1902,Frozen,1,0,0,1,1
1918,Frozen,1,0,1,0,0
1933,Frozen,1,1,0,0,1
1934,Frozen,1,0,0,1,1
1937,Frozen,1,1,0,0,0
1943,Frozen,1,0,1,0,0
1957,Frozen,0,1,1,0,0
2041,Frozen,0,0,1,0,0
2045,Frozen,1,0,1,0,0
2112,Frozen,1,0,0,0,1
2119,Frozen,1,0,0,0,0
2162,Frozen,0,0,0,0,0
2175,Frozen,1,0,0,0,1
2204,Frozen,0,0,1,0,0
2209,Frozen,1,1,1,0,0
2211,Frozen,0,1,0,0,0
2223,Frozen,0,1,0,0,0
2228,Frozen,0,0,0,0,0
2236,Frozen,0,0,0,0,0
2247,Frozen,1,1,0,0,0
2249,Frozen,1,0,1,0,0
2250,Frozen,0,0,0,0,0
2266,Frozen,1,1,0,1,0
2293,Frozen,1,1,0,0,0
2309,Frozen,1,0,0,0,0
2332,Frozen,0,1,0,0,0
2336,Frozen,1,1,1,0,0
2359,Frozen,1,1,1,0,0
2377,Frozen,0,1,1,0,0
2380,Frozen,0,0,0,0,0
2387,Frozen,0,0,0,0,0
2402,Frozen,0,0,0,0,0
2414,Frozen,0,0,0,0,0
2421,Frozen,1,0,0,0,1
2467,Frozen,0,1,1,0,0
2481,Frozen,1,0,1,0,0
2495,Frozen,0,0,0,0,0
2505,Frozen,0,0,1,0,0
2515,Frozen,0,0,0,0,0
2521,Frozen,0,1,0,0,1
2526,Frozen,1,0,0,0,0
2538,Frozen,1,0,0,0,0
2540,Frozen,1,0,1,0,0
2544,Frozen,1,0,0,0,1
2545,Frozen,0,1,1,0,0
2552,Frozen,1,0,1,0,1
2576,Frozen,0,0,0,0,0
2582,Frozen,0,0,0,0,0
2613,Frozen,1,1,1,1,0
2617,Frozen,0,0,0,0,0
2658,Frozen,1,1,0,0,0
2682,Frozen,0,0,0,0,0
2687,Frozen,0,0,0,0,0
2693,Frozen,1,0,1,1,0
2699,Frozen,1,1,0,1,1
2700,Frozen,1,0,1,0,0
2745,Frozen,0,0,0,0,0
2753,Frozen,0,0,0,0,0
2789,Frozen,0,0,1,0,0
2795,Frozen,0,1,1,0,0
2829,Frozen,0,1,0,0,0
2830,Frozen,0,1,0,0,0
2839,Frozen,0,1,1,0,0
2867,Frozen,1,0,0,0,0
2882,Frozen,0,0,0,0,0
2902,Frozen,0,0,0,0,0
2925,Frozen,1,0,1,0,0
2946,Frozen,1,0,0,0,0
2956,Frozen,1,0,1,0,0
2961,Frozen,1,0,1,0,0
2963,Frozen,1,0,0,1,1
2974,Frozen,1,1,1,0,0
2988,Frozen,0,0,0,0,0
3005,Frozen,1,0,1,0,0
3017,Frozen,1,0,0,0,0
3030,Frozen,1,0,0,1,1
3048,Frozen,0,1,1,0,0
3053,Frozen,0,0,0,0,0
3075,Frozen,0,0,0,0,0
3076,Frozen,1,0,0,0,0
3079,Frozen,0,0,0,0,0
3082,Frozen,1,1,0,0,0
3098,Frozen,1,1,1,0,0
3111,Frozen,1,0,1,0,0
3133,Frozen,0,0,0,0,0
3145,Frozen,0,0,0,0,1
3185,Frozen,1,0,0,1,1
3188,Frozen,0,0,1,0,0
3223,Frozen,1,1,1,0,0
3236,Frozen,0,1,0,0,0
3275,Frozen,1,0,1,0,0
3285,Frozen,0,1,0,1,0
3294,Frozen,1,1,1,0,0
3302,Frozen,1,0,0,1,1
3307,Frozen,1,0,0,0,0
3318,Frozen,0,0,0,0,0
3332,Frozen,0,1,0,0,0
3333,Frozen,0,0,1,0,0
3338,Frozen,0,0,1,0,0
3356,Frozen,1,0,0,0,0
3376,Frozen,1,0,1,0,0
3377,Frozen,1,1,1,0,0
3381,Frozen,0,0,0,0,1
3437,Frozen,0,0,0,0,0
3441,Frozen,0,1,0,0,0
3457,Frozen,1,0,0,0,1
