hh_id,Category,Loyal_HH,Price_Sensitive,Convenience_Leaning_HH,Health_Conscious_HH,Quality_Concerned_HH
2,Fruits & Vegetables,1,0,0,1,1
15,Fruits & Vegetables,1,0,0,0,0
16,Fruits & Vegetables,1,1,0,0,0
42,Fruits & Vegetables,0,1,0,0,0
48,Fruits & Vegetables,1,0,0,0,0
58,Fruits & Vegetables,1,0,0,1,0
76,Fruits & Vegetables,1,0,1,0,0
80,Fruits & Vegetables,0,0,0,0,0
86,Fruits & Vegetables,0,0,0,1,0
101,Fruits & Vegetables,1,0,1,0,0
119,Fruits & Vegetables,0,0,0,0,1
127,Fruits & Vegetables,0,0,0,0,0
129,Fruits & Vegetables,1,0,0,1,1
131,Fruits & Vegetables,1,0,1,0,0
133,Fruits & Vegetables,0,1,0,0,0
139,Fruits & Vegetables,1,0,0,1,0
144,Fruits & Vegetables,1,1,0,0,0
147,Fruits & Vegetables,1,0,0,0,0
153,Fruits & Vegetables,0,0,0,1,1
160,Fruits & Vegetables,1,0,0,0,0
164,Fruits & Vegetables,1,1,0,0,0
170,Fruits & Vegetables,1,1,0,0,0
183,Fruits & Vegetables,1,0,1,0,0
188,Fruits & Vegetables,1,0,1,0,0
199,Fruits & Vegetables,1,1,1,0,0
201,Fruits & Vegetables,0,0,0,0,0
205,Fruits & Vegetables,0,0,0,1,1
224,Fruits & Vegetables,1,0,0,0,0
225,Fruits & Vegetables,1,0,0,1,1
238,Fruits & Vegetables,1,0,0,0,0
239,Fruits & Vegetables,1,0,1,0,0
241,Fruits & Vegetables,1,0,0,0,0
277,Fruits & Vegetables,0,1,0,0,0
280,Fruits & Vegetables,1,1,1,0,0
283,Fruits & Vegetables,0,0,0,1,1
284,Fruits & Vegetables,1,0,1,0,0
294,Fruits & Vegetables,1,0,1,0,0
296,Fruits & Vegetables,0,0,0,0,0
297,Fruits & Vegetables,0,0,0,0,0
323,Fruits & Vegetables,1,0,1,0,0
326,Fruits & Vegetables,1,0,0,0,0
336,Fruits & Vegetables,1,0,0,0,0
338,Fruits & Vegetables,0,0,0,0,0
347,Fruits & Vegetables,0,0,0,0,0
361,Fruits & Vegetables,0,0,0,0,0
367,Fruits & Vegetables,0,0,0,1,1
369,Fruits & Vegetables,1,0,0,0,1
374,Fruits & Vegetables,1,0,0,1,0
377,Fruits & Vegetables,0,1,0,0,0
382,Fruits & Vegetables,1,0,1,0,1
390,Fruits & Vegetables,0,1,0,0,0
403,Fruits & Vegetables,1,0,0,0,0
408,Fruits & Vegetables,0,1,1,1,0
413,Fruits & Vegetables,1,0,1,1,0
414,Fruits & Vegetables,0,0,1,0,0
417,Fruits & Vegetables,0,0,0,0,0
440,Fruits & Vegetables,0,0,1,0,0
458,Fruits & Vegetables,0,1,0,0,0
460,Fruits & Vegetables,1,0,1,0,0
461,Fruits & Vegetables,0,0,0,0,0
465,Fruits & Vegetables,0,1,1,0,0
474,Fruits & Vegetables,1,0,0,0,0
475,Fruits & Vegetables,1,0,1,0,0
481,Fruits & Vegetables,0,0,0,0,0
482,Fruits & Vegetables,1,0,0,0,0
489,Fruits & Vegetables,0,0,0,0,0
491,Fruits & Vegetables,1,0,1,0,0
505,Fruits & Vegetables,0,1,0,0,0
506,Fruits & Vegetables,1,0,0,0,0
507,Fruits & Vegetables,0,0,0,0,0
514,Fruits & Vegetables,0,0,0,1,1
516,Fruits & Vegetables,1,0,0,0,0
518,Fruits & Vegetables,0,0,1,0,0
525,Fruits & Vegetables,0,0,0,0,0
532,Fruits & Vegetables,0,0,0,0,0
537,Fruits & Vegetables,0,0,0,0,0
543,Fruits & Vegetables,1,0,0,0,0
562,Fruits & Vegetables,1,1,0,0,0
568,Fruits & Vegetables,1,1,0,0,0
582,Fruits & Vegetables,1,1,0,0,0
586,Fruits & Vegetables,1,1,1,0,0
606,Fruits & Vegetables,1,1,0,0,0
609,Fruits & Vegetables,1,0,1,0,1
620,Fruits & Vegetables,1,1,1,0,0
631,Fruits & Vegetables,1,0,0,0,0
632,Fruits & Vegetables,1,0,0,1,1
633,Fruits & Vegetables,1,0,0,1,0
634,Fruits & Vegetables,1,0,0,0,0
656,Fruits & Vegetables,0,0,0,0,0
661,Fruits & Vegetables,0,0,1,0,0
662,Fruits & Vegetables,1,1,1,0,0
664,Fruits & Vegetables,1,0,0,0,0
666,Fruits & Vegetables,1,0,1,0,0
669,Fruits & Vegetables,1,0,0,0,0
670,Fruits & Vegetables,1,1,1,0,0
671,Fruits & Vegetables,1,0,0,0,0
673,Fruits & Vegetables,1,0,0,1,1
682,Fruits & Vegetables,1,0,1,0,0
685,Fruits & Vegetables,1,0,1,0,0
691,Fruits & Vegetables,1,1,0,1,1
692,Fruits & Vegetables,0,0,0,0,0
695,Fruits & Vegetables,0,1,1,0,0
701,Fruits & Vegetables,1,0,0,0,0
703,Fruits & Vegetables,1,1,1,0,0
707,Fruits & Vegetables,0,0,0,1,1
710,Fruits & Vegetables,1,0,1,0,0
711,Fruits & Vegetables,1,0,0,0,0
713,Fruits & Vegetables,0,0,0,0,1
717,Fruits & Vegetables,0,1,0,0,0
720,Fruits & Vegetables,1,0,1,0,1
721,Fruits & Vegetables,1,0,0,0,0
734,Fruits & Vegetables,1,1,0,1,0
739,Fruits & Vegetables,0,0,0,0,1
749,Fruits & Vegetables,1,0,0,0,0
754,Fruits & Vegetables,1,0,0,1,1
768,Fruits & Vegetables,1,1,0,0,0
773,Fruits & Vegetables,0,0,0,0,0
778,Fruits & Vegetables,1,0,0,0,1
784,Fruits & Vegetables,0,1,0,0,0
792,Fruits & Vegetables,1,0,0,0,0
795,Fruits & Vegetables,0,0,1,0,1
802,Fruits & Vegetables,1,1,0,0,0
804,Fruits & Vegetables,0,0,0,1,1
809,Fruits & Vegetables,1,1,0,0,0
815,Fruits & Vegetables,0,0,0,0,1
818,Fruits & Vegetables,1,0,0,0,0
820,Fruits & Vegetables,0,0,0,0,0
830,Fruits & Vegetables,0,0,0,0,0
852,Fruits & Vegetables,0,0,1,0,1
859,Fruits & Vegetables,0,0,0,0,0
885,Fruits & Vegetables,0,1,0,0,0
892,Fruits & Vegetables,0,0,0,1,1
898,Fruits & Vegetables,0,1,0,0,0
905,Fruits & Vegetables,1,1,1,0,0
911,Fruits & Vegetables,0,0,0,1,1
915,Fruits & Vegetables,1,0,0,0,0
929,Fruits & Vegetables,1,0,1,0,0
930,Fruits & Vegetables,1,0,1,0,0
932,Fruits & Vegetables,0,0,0,0,0
933,Fruits & Vegetables,0,0,0,1,1
946,Fruits & Vegetables,1,0,1,0,0
954,Fruits & Vegetables,1,0,0,1,0
956,Fruits & Vegetables,1,0,0,0,1
965,Fruits & Vegetables,1,0,1,0,0
967,Fruits & Vegetables,1,0,0,1,1
969,Fruits & Vegetables,0,0,0,0,0
970,Fruits & Vegetables,0,0,0,1,1
997,Fruits & Vegetables,1,0,0,1,0
1003,Fruits & Vegetables,0,0,0,0,0
1005,Fruits & Vegetables,0,0,1,0,0
1018,Fruits & Vegetables,1,0,0,0,0
1019,Fruits & Vegetables,1,0,1,0,0
1028,Fruits & Vegetables,0,0,0,0,0
1045,Fruits & Vegetables,0,0,0,0,0
1050,Fruits & Vegetables,1,0,0,0,0
1077,Fruits & Vegetables,0,0,0,1,1
1088,Fruits & Vegetables,1,0,0,0,0
1099,Fruits & Vegetables,0,0,0,0,0
1100,Fruits & Vegetables,1,1,0,0,0
1104,Fruits & Vegetables,1,1,0,0,0
1113,Fruits & Vegetables,1,0,0,1,0
1116,Fruits & Vegetables,0,0,1,0,0
1121,Fruits & Vegetables,1,1,1,0,0
1127,Fruits & Vegetables,1,0,1,0,0
1128,Fruits & Vegetables,1,0,1,0,0
1131,Fruits & Vegetables,0,0,0,0,0
1135,Fruits & Vegetables,1,0,0,1,1
1146,Fruits & Vegetables,1,0,0,1,1
1163,Fruits & Vegetables,0,0,0,0,1
1165,Fruits & Vegetables,0,1,0,0,0
1168,Fruits & Vegetables,0,0,0,0,1
1169,Fruits & Vegetables,0,0,0,0,0
1172,Fruits & Vegetables,0,1,1,0,0
1177,Fruits & Vegetables,0,0,0,0,1
1180,Fruits & Vegetables,0,0,0,0,0
1186,Fruits & Vegetables,1,0,0,1,1
1199,Fruits & Vegetables,0,0,1,0,0
1203,Fruits & Vegetables,0,0,0,0,0
1220,Fruits & Vegetables,1,0,1,1,0
1221,Fruits & Vegetables,0,0,1,0,0
1241,Fruits & Vegetables,0,0,0,1,1
1247,Fruits & Vegetables,0,0,0,0,0
1249,Fruits & Vegetables,1,0,0,0,0
1250,Fruits & Vegetables,1,0,1,0,0
1252,Fruits & Vegetables,1,0,0,1,1
1262,Fruits & Vegetables,0,0,0,1,1
1272,Fruits & Vegetables,0,0,0,1,0
1281,Fruits & Vegetables,0,0,0,0,0
1283,Fruits & Vegetables,1,0,0,0,0
1294,Fruits & Vegetables,0,1,0,0,0
1296,Fruits & Vegetables,1,1,1,0,0
1300,Fruits & Vegetables,0,1,1,0,0
1314,Fruits & Vegetables,0,0,0,0,1
1320,Fruits & Vegetables,0,0,0,0,1
1327,Fruits & Vegetables,0,0,0,0,0
1330,Fruits & Vegetables,0,0,0,0,0
1333,Fruits & Vegetables,0,0,0,1,1
1341,Fruits & Vegetables,0,1,0,0,0
1361,Fruits & Vegetables,1,1,0,1,1
1369,Fruits & Vegetables,1,0,0,0,0
1379,Fruits & Vegetables,0,0,1,0,0
1381,Fruits & Vegetables,1,0,0,0,0
1386,Fruits & Vegetables,1,0,0,1,0
1390,Fruits & Vegetables,0,0,0,0,0
1401,Fruits & Vegetables,1,0,0,0,0
1417,Fruits & Vegetables,0,0,0,0,0
1426,Fruits & Vegetables,1,1,1,0,0
1433,Fruits & Vegetables,0,0,1,0,1
1435,Fruits & Vegetables,1,1,1,0,0
1441,Fruits & Vegetables,0,0,0,0,0
1450,Fruits & Vegetables,1,0,1,0,0
1459,Fruits & Vegetables,1,1,0,0,0
1463,Fruits & Vegetables,0,0,0,1,1
1473,Fruits & Vegetables,0,0,0,0,0
1476,Fruits & Vegetables,1,0,0,1,1
1478,Fruits & Vegetables,1,0,0,1,1
1483,Fruits & Vegetables,1,0,0,0,0
1485,Fruits & Vegetables,1,0,0,0,1
1491,Fruits & Vegetables,1,0,0,0,0
